Channel,Time,Program,Year Release,Description,Age Limit,Rating,Number of Ratings,Categories,Presenters
Первый канал,['06:00'],"Телеканал ""Доброе утро. Суббота""",1986 — по н.в.,"Утренняя информационно-развлекательная программа «Первого канала» заряжает бодростью, оптимизмом и хорошим настроением на целый день. В каждом выпуске телешоу представлены актуальные новости, полезные советы на все случаи жизни, интервью с интересными гостями и многое другое. Первая часть программы выходит в эфир из Останкина, а затем эстафету перехватывает мобильная передвижная студия, которая находится на улицах Москвы.
«Телеканал „Доброе утро“» существует с 1986 года и является бесспорным лидером утреннего вещания.",0+,6.7,435 оценок,['развлекательное'],"['Лариса Вербицкая', 'Борис Щербаков', 'Екатерина Стриженова', 'Арина Шарапова', 'Юлия Зимина', 'Антон Привольнов', 'Светлана Зейналова', 'Роман Будников', 'Ольга Ушакова', 'Тимур Соловьев', 'Сергей Бабаев', 'Марина Ким', 'Анастасия Трегубова', 'Дильбар Файзиева']"
Первый канал,['16:40'],Кто хочет стать миллионером?,2001 — по н.в.,"«Кто хочет стать миллионером?» — это аналог популярнейшего британского шоу «Who Wants to Be a Millionaire?». До 2001 года программа называлась «О, счастливчик!». До сентября 2005 года максимальным выигрышем программы был один миллион рублей.
Для того, чтобы заработать в программе «Кто хочет стать миллионером?» три миллиона рублей, необходимо правильно ответить на 15 вопросов из различных областей знаний. Каждый вопрос имеет четыре варианта ответа, из которых только один является верным. Каждый вопрос имеет конкретную стоимость. Все суммы являются заменяемыми, то есть после ответа на следующий вопрос не суммируются с суммой за ответ на предыдущий. Суммы, полученные при верном ответе на 5-й и 10-й вопросы, являются «несгораемыми» (в случае выбора игроком «рискованной» игры, только одна сумма является «несгораемой» и игрок устанавливает её самостоятельно перед началом игры). «Несгораемая» сумма останется у игрока даже при неправильном ответе на один из следующих вопросов. В любой момент игрок может остановиться и забрать деньги. В случае неверного ответа выигрыш участника сокращается до ближайшей достигнутой «несгораемой» суммы, и он прекращает участие в игре.
В течение всей игры можно единожды воспользоваться четырьмя подсказками: «Помощь зала», «50:50», «Звонок другу» и «Право на ошибку» (введена в 2010 году). С осени 2006 по 2008 год существовала также подсказка «Три мудреца» — в течение 30 секунд игрок мог посоветоваться с тремя известными личностями, находящимися в другой комнате.
С 2001 по 2008 год ведущим программы был пародист Максим Галкин, затем его сменил Дмитрий Дибров, который ранее вел шоу «О, счастливчик!».",12+,6.5,1 515 оценок,['игровое'],['Юлианна Караулова']
Первый канал,['21:35'],Сегодня вечером,2012 — по н.в.,"В студии субботней программы «Сегодня вечером» собираются исключительно звездные гости: актеры, певцы и музыканты. Знаменитости показывают неизвестные кадры, фотографии, которые позволяют зрителям взглянуть на кумиров с новой точки зрения.",16+,6.0,2 568 оценок,['ток-шоу'],['Николай Цискаридзе']
Первый канал,['23:35'],Самый лучший босс,2021,"На фабрике Blancos Básculas все должно быть в равновесии, ведь ее работники занимаются производством весов всех форм и размеров. Начальник предприятия Бланко (Хавьер Бардем) готовится к предстоящему визиту комиссии, которая решит, получит ли компания престижную награду. Для этого, разумеется, все должно быть идеально, однако проблемы неожиданно возникают одна за другой.",18+,6.3,57 оценок,['комедия'],['Фернандо Леон Де Араноа']
Первый канал,['04:25'],Подкаст.Лаб,2023 — по н.в.,"«Подкаст. Лаб» — это серия подкастов разной тематики, заполняющая ночные эфиры «Первого канала». Каждый раздел «Подкаста. Лаб» представлен разными ведущими. Карина Кросс отвечает за музыкальную рубрику «Неформат», Дмитрий Дибров возрождает свою «Антропологию», Лариса Гузеева читает любовные письма, Леонид Якубович рассказывает о пилотах, Михаил Ханов дает финансовые советы, а Арина Холина затрагивает самые интимные вопросы.",16+,3.4,296 оценок,['ток-шоу'],"['Лариса Гузеева', 'Леонид Якубович', 'Арина Холина', 'Карина Кросс', 'Валя Карнавал', 'Валерий Сюткин', 'Дмитрий Дибров', 'Денис Казанский', 'Антон Лаврентьев', 'Сергей Томаш', 'Михаил Ханов', 'Дмитрий Бак', 'Антон Шкаплеров', 'Вера Кинчева', 'Светлана Драган', 'Вадим Галыгин', 'Аглая Набатникова', 'Сергей Насибян', 'Татьяна Красновская']"
Россия 1,['05:00'],Утро России. Суббота,1998 — по н.в.,"Информационно-развлекательный канал «Утро России» — это четырехчасовое шоу в стиле «инфотейнмент». Каждый день ведущие говорят о главных событиях, о том, что интересует каждого жителя большой страны, о том, что тревожит, заставляет задуматься и вызывает гордость. В поле зрения программы оказываются не только самые заметные, но и просто любопытные истории, произошедшие в России и за ее пределами. Это и человеческие судьбы, и научные открытия, и новости из мира искусства. А корреспонденты программы и приглашенные эксперты помогают сориентироваться в любой жизненной ситуации. Как выбрать качественный товар? Как защитить свои права? Где можно сэкономить? Ответы на эти и другие вопросы — каждый день в утреннем эфире.",12+,7.0,323 оценки,['развлекательное'],"['Анастасия Чернобровина', 'Андрей Петров', 'Владислав Завьялов', 'Денис Стойков', 'Светлана Абрамова', 'Елена Николаева']"
Россия 1,['09:25'],Пятеро на одного,2017 — по н.в.,"В шоу «Пятеро на одного» звездные участники сражаются с телезрителями. У команды, состоящей из пяти звезд шоу-бизнеса, есть только четыре минуты, чтобы дать правильный ответ. Если игроки не смогут ответить правильно, то телезритель, приславший вопрос, выигрывает денежный приз.",12+,7.3,209 оценок,['игровое'],['Алексей Вершинин']
Россия 1,['10:10'],Сто к одному,1995 — по н.в.,"«Сто к одному» — командная телеигра, аналог американской игры Family Feud. Цель участников — угадать наиболее распространенные ответы людей с улицы на предложенные неоднозначные вопросы, например: «Какую еду больше всего любят французы?», «Кто поддерживает порядок в стране?», «Что делает женщина, когда у неё сломался каблук?». Каждый игрок должен предложить свою версию, но победа (или поражение) достается всей команде в целом. Программа стала финалистом национального телевизионного конкурса «ТЭФИ 2000», лауреатом «ТЭФИ 2002» в номинации «Развлекательная программа». ",0+,7.7,1 308 оценок,['игровое'],['Александр Акопов']
Россия 1,['12:55'],"""Судьба человека"" с Борисом Корчевниковым",2017 — по н.в.,"«Судьба человека» — авторская программа Бориса Корчевникова, в каждом эпизоде которой представлено откровенное портретное интервью с человеком с уникальной жизненной историей. Героями проекта становятся не только знаменитости, политики, артисты, но и простые люди, которым пришлось пройти через невероятно сложные и трагические испытания.",12+,7.1,678 оценок,['ток-шоу'],['Борис Корчевников']
Россия 1,['14:50'],Юмор! Юмор!! Юмор!!!,2015 — по н.в.,"Каждый выпуск юмористической телепрограммы — это настоящий калейдоскоп смешных номеров. Ведущий телешоу «Юмор! Юмор! Юмор!» Евгений Петросян приглашает зрителей посмотреть не только свои номера, но и других артистов эстрады, известных и молодых. Веселые песни, шутки, танцы — скучно не будет...",16+,5.4,127 оценок,['юмористическое'],['Евгений Петросян']
Россия 1,['17:50'],"Привет, Андрей!",2017 — по н.в.,"Раз в неделю в студию к Андрею Малахову приходят звездные гости, чтобы обсудить интересные подробности жизни любимцев публики.",12+,3.6,5 155 оценок,['ток-шоу'],['Андрей Малахов']
Россия 1,['00:45'],Третья жизнь Дарьи Кирилловны,2017 (Сериал закончился),"Деревенская девушка Даша (Анна Казючиц) во что бы то ни стало решила стать успешной. После окончания школы она отправилась в Москву и вскоре стала известным архитектором, возглавив собственное бюро. У главной героини сериала «Третья жизнь Дарьи Кирилловны» есть все, о чем она мечтала в детстве: красавец муж Гера (Артем Осипов), совладелец фирмы, и роскошный особняк. Но внезапно жизнь Дарьи полностью меняется: перед важным тендером женщина исчезает. Ее находят в вагоне с песком, без сознания. Когда Даша приходит в себя, она ничего не помнит...",16+,6.8,59 оценок,['мелодрама'],['Андрей Селиванов']
НТВ,"['05:30', '04:45']",Улицы разбитых фонарей,1998 — 2019 (Сериал закончился),"Герои фильма — команда профессионалов Соловец, Волков и Дымов, они борются с преступным миром города на Неве, с гордостью побеждая в каждой схватке с бандитами. Помогают им в этом нелегком деле трое новичков. В каждом эпизоде героев ждут опасные, но увлекательные дела — и убийца-трансвестит, и разные маньяки, и питерские диггеры, и даже дело об НЛО. Для бравых ребят всегда найдется работа на улицах славного города Петербурга, а это значит, что каждый новый день они снова и снова будут вступать в схватку с мафией, преодолевая все трудности.
Большинство серий «Улиц...» снято по произведениям Андрея Кивинова.",16+,7.1,6 939 оценок,['драма'],"['Александр Рогожкин', 'Дмитрий Светозаров', 'Кирилл Капица']"
НТВ,['06:20'],Жди меня,1998 — по н.в.,"Искренняя и трогательная, нежная и проникновенная передача «Жди меня» уже много лет помогает людям находить друг друга. По тем или иным причинам люди иногда теряют тех, кто им дорог: кто-то переехал и не сообщил о новом месте жительства; кого-то разлучила война; кто-то ищет дальних родственников, о которых давно не было известий; кто-то просто хочет поблагодарить человека, который когда-то помог ему в беде, но не знает ни имени, ни адреса спасителя. Найти удается даже тех, кто не виделся более полувека.
Изначально передача была задумана как проект по поиску людей на территории России, теперь же она транслируется более чем в 100 странах мира. Сюда может обратиться каждый, кому необходима помощь в поиске своих родных и близких. С 1998 по 2017 год передача выходила на «Первом канале». В 2017 году домом для программы стал канал НТВ.",12+,7.4,1 804 оценки,['ток-шоу'],"['Александр Лазарев-мл.', 'Алена Бабенко', 'Александр Галибин', 'Мария Шукшина', 'Игорь Кваша', 'Оксана Найчук', 'Михаил Ефремов', 'Александр Домогаров', 'Чулпан Хаматова', 'Сергей Никоненко', 'Егор Бероев', 'Ксения Алферова', 'Григорий Сергеев', 'Юлия Высоцкая', 'Сергей Шакуров', 'Татьяна Арнтгольц']"
НТВ,['08:20'],"Поедем, поедим!",2012 — по н.в.,"«Поедем, поедим!» — это увлекательная и вкусная экспедиция по бескрайним просторам России. Главные герои программы — жители деревень, охотники и рыболовы, геологи и старатели, представители разных народностей. У каждого из них есть свои рецепты вкусной и здоровой пищи, которыми они делятся со зрителями. Изюминка проекта — его ведущий Джон Уоррен, подданный Великобритании, по-настоящему влюбленный в Россию. Он много лет собирает рецепты из разных стран и придумывает собственные, а его кулинарные навыки ничуть не уступают мастерству именитых шеф-поваров Европы.
Героем «Поедем, поедим!» может стать каждый россиянин. Нужно только прислать заявку с традиционным для своей местности рецептом и рассказать, чем можно удивить истинного британца в России, а уж съемочная группа НТВ во главе с Джоном Уорреном не заставит себя долго ждать.",12+,7.1,391 оценка,['кулинарное'],"['Джон Уоррен', 'Федерико Арнальди']"
НТВ,['09:20'],Едим Дома,2003 — по н.в.,"Очаровательная ведущая Юлия Высоцкая делится со зрителями уникальными рецептами блюд, которые готовит прямо у себя дома. Встреча старых друзей, детский праздник, загородный пикник — Высоцкая находит вкусное решение к каждой ситуации. А каждое приготовленное блюдо — шедевр, который, как оказывается, не так уж и сложно приготовить. «Едим Дома!» — это своего рода зарисовки из жизни молодой хозяйки, где каждая серия — новая история, новый случай, новые блюда.",0+,6.4,1 007 оценок,['кулинарное'],['Юлия Высоцкая']
НТВ,['10:20'],Главная дорога,2012 — по н.в.,"«Главная дорога» — программа обо всем, что происходит на дорогах страны. Это полчаса полезной информации не только для автолюбителей, но и для пешеходов. В постоянной рубрике «Испытано на себе» зрителей ждут наглядные советы, как вести себя в сложных ситуациях на дорогах.
Сложнейший курс контраварийной подготовки, адаптированный для массового зрителя, научит водителей уверенно держаться за рулем. Занятия проводит инструктор известного во всем мире Центра высшего водительского мастерства. И в каждом выпуске проекта — моделирование аварийных ситуаций: разбор и рекомендации по предотвращению происшествий, а также советы юристов.
Показать всю важность соблюдения ПДД и сделать российские дороги безопаснее — цель программы и ее ведущих — актеров Дениса Юченкова и Андрея Федорцова.",16+,7.3,687 оценок,['документальное'],"['Денис Юченков', 'Андрей Федорцов']"
НТВ,['11:00'],Живая еда с Сергеем Малоземовым,2015 — по н.в.,"«Живая еда с Сергеем Малоземовым» — передача, посвященная детальному исследованию продуктов питания, как тех, которые мы ежедневно употребляем, так и тех, что лишь недавно вошли в моду и еще не очень изучены. В выпусках программы расскажут, что такое суперфуд и откуда взялось это понятие, как готовят хлеб и на что нужно обращать внимание при его выборе, почему искусственно выловленной рыбы сейчас больше, чем отловленной в море. Зрители узнают, какие продукты действительно полезны, а какие мы только считаем такими.",12+,7.7,376 оценок,['развлекательное'],['Сергей Малоземов']
НТВ,['12:00'],Квартирный вопрос,2001 — по н.в.,"Команда «Квартирного вопроса» приезжает в обычные квартиры к обычным людям. Согласно условиям программы хозяева должны на время уехать, а дизайнеры, архитекторы и декораторы в течение нескольких дней обустраивают одну, заранее определенную хозяевами комнату, создавая красивый, необычный, а главное — удобный интерьер. Зрители наблюдают за всеми этапами работы, хозяева же приезжают в квартиру только чтобы увидеть конечный результат. Их эмоциональная реакция является кульминацией всей передачи.",6+,6.5,1 691 оценка,['развлекательное'],"['Татьяна Грамон', 'Оксана Козырева', 'Илья Западенец', 'Виктория Панина']"
НТВ,['17:00'],Своя игра,1994 — по н.в.,"Программа «Своя игра» выпускается в России с 1994 года по лицензии американской телеигры Jeopardy! («Рискуй!»).
В игре принимают участие три игрока. Их основная цель — отвечать на вопросы и зарабатывать как можно большее число очков. В начале игры у каждого из игроков на счету 0 очков. Каждое очко в игре равняется 1 рублю. Суть игры заключается в том, что три участника отвечают на вопросы различной стоимости, пытаясь опередить друг друга. Игра состоит из четырёх раундов — трёх основных и финального. Каждый из основных раундов содержит 30 вопросов — 6 тем по 5 вопросов в каждой. Каждый вопрос темы имеет свою стоимость. Чем выше цена вопроса, тем он, как правило, сложнее. Каждый раунд продолжается до тех пор, пока в нём не будут разыграны все вопросы или не истечёт время раунда — 10 минут. Помимо обычных вопросов существуют специальные — «Кот в мешке», «Вопрос-аукцион» и «Вопрос от…». Время от времени в игре появлялись «Вопросы от спонсора».
В 2003 году «Своя игра» получила премию «ТЭФИ» в категории «Телевизионная игра», а в 2005 году бессменный ведущий «Своей игры» Пётр Кулешов получил «ТЭФИ» в номинации «Ведущий телевизионной игры».",0+,7.5,1 468 оценок,['игровое'],['Петр Кулешов']
НТВ,['18:00'],Следствие вели...,2006 — по н.в.,"Вечное противостояние смелых, умных сотрудников правоохранительных органов и дерзких преступников. В центре внимания — резонансные и засекреченные преступления, которые происходили с 1917 года до конца XX века. Детали каждого дела воссоздаются с максимальной точностью: используются реконструкции, кадры документальной хроники, фотоматериалы, архивные документы, свидетельства очевидцев и участников событий. В ремарках, сделанных Леонидом Каневским, дается объяснение исторических явлений эпохи и бытовых деталей, дающих представление о жизни в Советском Союзе и в постсоветское время. 
Над документальным сериалом «Следствие вели…» с Леонидом Каневским в качестве ведущего работали режиссеры Игорь Холодков, Борис Федоров, Александр Ярославцев. Сценаристы криминальной многосерийной ленты — Михаил Бобровник, Светлана Туманова, Татьяна Паук.",16+,7.9,1 778 оценок,['криминал'],"['Игорь Холодков', 'Дмитрий Докучаев', 'Александр Ярославцев']"
НТВ,['19:00'],Центральное телевидение,2011 — по н.в.,"Информационная программа «Центральное телевидение» рассказывает о самых интересных новостях — общественных, политических и культурных. Поводом для сюжета может выступить сенсация, курьез или реальная жизненная история. Ньюсмейкеры работают в разных жанрах, среди которых репортаж, интервью, расследование, телемост или ток-шоу. Также в программе можно увидеть сатирические скетчи, актуальную анимацию, живые музыкальные выступления и превью премьерных кинофильмов. Ведущий «Центрального телевидения» Вадим Такменев отбирает новости по принципу того, насколько они будут интересны зрителям.",16+,4.6,3 177 оценок,['новостное'],"['Вадим Такменев', 'Алла Кастерова']"
НТВ,['20:20'],Ты не поверишь!,2007 — по н.в.,"В основе каждого выпуска программы «Ты не поверишь!» — скандальные и ошеломляющие истории из жизни звезд шоу-бизнеса. Ведущий Леонид Закошанский задает знаменитостям провокационные вопросы и получает на них неоднозначные ответы. Шикарные особняки и тайный бизнес звезд — на чем они зарабатывают свои миллионы? Новые романы и закрытые свадьбы — как живут семьи знаменитых артистов? Домашние питомцы и отдых в экзотических странах — чем увлекаются кумиры всей страны?
Шоу построено на популярном жанре светского репортажа. «Ты не поверишь!» демонстрирует жизнь самых богатых и знаменитых людей страны со всех сторон. Каждый новый выпуск — это сенсационные признания Аллы Пугачевой, Иосифа Кобзона, Лаймы Вайкуле, Николая Баскова, Ларисы Долиной, Филиппа Киркорова и других знаменитостей.
До 2009 года у программы «Ты не поверишь!» было два ведущих — Леонид Закошанский (Леня Зак) и Владимир Тишенков (Шкет). После смерти Тишенкова единственным ведущим стал Закошанский.",16+,5.8,512 оценок,['развлекательное'],"['Леонид Закошанский', 'Дмитрий Оленин']"
НТВ,['21:20'],Секрет на миллион,2016 — по н.в.,"Ведущая телешоу задает звездным гостям каверзные вопросы, связанные с их реальной жизнью: какое платье надела звезда на свое первое свидание, за что на артиста обижена бывшая жена и с кем знаменитость провела ночь в отеле на Лазурном Берегу. За каждый откровенный ответ участник получает денежное вознаграждение. Герои программы могут воспользоваться правом вето и не отвечать на вопрос, но только один раз. Телеведущей предстоит выяснить, кто из артистов окажется настолько смел, чтобы дойти до конца и ответить на самый пикантный вопрос стоимостью 1 млн руб.",16+,4.1,5 060 оценок,['ток-шоу'],['Лера Кудрявцева']
НТВ,['23:30'],Международная пилорама,2016 — по н.в.,"«Международная пилорама» — сатирический проект канала НТВ, ведущим которого является известный кинорежиссер, актер и сценарист Тигран Кеосаян. В каждом выпуске программы он разбирает громкие политические события, произошедшие в стране и в мире, в свойственной ему язвительной манере. Мишенями его едких, но всегда точных комментариев становятся многие — от журналистов и ньюсмейкеров до политических лидеров. В программе принимают участие популярные актеры, певцы, чиновники и спортсмены, а хорошее настроение в студии поддерживают специальные рубрики.",16+,6.1,524 оценки,['юмористическое'],['Тигран Кеосаян']
НТВ,['00:20'],Захар Прилепин. Уроки русского,2017 — по н.в.,"В каждом выпуске авторской программы известный писатель Захар Прилепин дает свою оценку актуальным событиям недели, вызвавшим широкий общественный резонанс. Проект «Захар Прилепин. Уроки русского» представляет собой своеобразный сплав видеоблога и аналитической телепередачи: Захар не только комментирует громкие новости, обсуждаемые в прессе и в интернете, но и сам становится ньюсмейкером, создавая информационный повод для новых дискуссий в обществе.",12+,8.8,233 оценки,['аналитическое'],['Захар Прилепин']
НТВ,['01:00'],Квартирник НТВ у Маргулиса,2015 — по н.в.,"Известный музыкант Евгений Маргулис приглашает всех желающих к себе в гости, где в теплой и домашней атмосфере можно насладиться отличной музыкой и приятным общением. В каждом выпуске проекта «Квартирник у Маргулиса» принимают участие легенды отечественной рок-сцены. Лидер группы «Чайф» Владимир Шахрин, Сергей Галанин, Найк Борзов, группа «Манго-манго», братья Крестовские, Валерий Сюткин, «Би-2», «Ногу свело», «Чиж» и многие другие исполняют хиты, рассказывают байки из жизни рок-звезд и делятся воспоминаниями.",16+,8.0,522 оценки,['развлекательное'],['Евгений Маргулис']
НТВ,['02:10'],Дачный ответ,2008 — по н.в.,"«Дачный ответ» — это ответвление шоу «Квартирный вопрос», в котором команда профессионалов занимается «переделкой» загородных домов. В начале программы ведущие знакомятся с хозяевами выбранного редакцией дома. Обычно это семьи, обладающие интересными увлечениями или необычными домами. Затем хозяева удаляются на некоторое время из своего дома, а строительная бригада под руководством опытного дизайнера приступает к переделке и улучшению их жилища и участка.
В заключительной части программы показывается изначальное состояние дома и участка и сравнивается с тем, что получилось в результате переделки.
В каждом выпуске программы «Дачный ответ» телезрителей знакомят с современными материалами и технологиями, применяемыми в строительстве. Приглашенные дизайнеры шоу проводят мастер-классы по изготовлению или декорированию предметов интерьера.",0+,6.7,640 оценок,['развлекательное'],"['Дарья Субботина', 'Ольга Прохорова', 'Татьяна Грамон', 'Виктория Панина']"
НТВ,"['03:05', '03:55']",Старые кадры,2020 (Сериал закончился),"Опытный сотрудник Следственного комитета Александра Токарева случайно срывает операцию по захвату преступной группировки, из-за чего оказывается отстранена от должностных обязанностей. Начальство решает отправить Токареву руководить только что созданным отделом по расследованию нераскрытых преступлений — ОРНП. В свою команду Александра отбирает двух бывших следователей Ивана Долина и Бориса Лейна, а также оперативника Георгия Бархатова. Бравые пенсионеры, не отличающиеся покладистым характером и почтением к начальству, оказываются отличной командой, способной раскрыть даже самые сложные преступления.
«Старые кадры» — российская адаптация британского сериала телеканала BBC «Новые уловки».",16+,5.9,128 оценок,['драма'],['Евгений Звездаков']
5 канал,"['05:00', '05:20', '06:00', '06:45', '07:30', '08:20', '10:05', '10:20', '11:15', '12:10', '13:05', '14:00', '14:55', '15:50', '16:45', '17:40', '18:35', '19:25']",Условный мент,2019 — по н.в.,"Честный и принципиальный полицейский Дмитрий Рыжов пошел в уголовный розыск по стопам отца, который погиб при задержании преступника. Однако опер с безупречной репутацией пришелся не ко двору в столичном отделе. Рыжов был осужден, отсидел два года и вышел по условно-досрочному. Оставаясь под надзором, бывший полицейский должен устроиться на работу и вести тихую и спокойную жизнь. Но мужчину не оставляет мысль доказать, что он был осужден несправедливо.
Сериал «Условный мент» — ироничный детектив с Денисом Рожковым в главной роли.",16+,7.0,499 оценок,['криминал'],['Андрей Коршунов']
5 канал,"['20:25', '21:20', '22:15', '23:05']",Наш спецназ,2022 — по н.в.,"Виктор Фирсов с детства хотел быть похожим на отца — подполковника Игоря Фирсова, который погиб при исполнении, когда Виктору было 18 лет. Едва вернувшись из армии, Фирсов-младший «унаследовал» работу родителя. Теперь он — умный и сдержанный 45-летний старший оперуполномоченный СОБРа и руководитель группы немедленного реагирования «Трефы». В команде Фирсова (позывной «Пионер») — только лучшие бойцы, которых Виктор набирал и тренировал лично: Сергей Богатов (позывной «Отец»), Михаил Пряников (позывной «Туча»), Юрий Агеев (позывной «Ланцет») и Дмитрий Колодин (позывной «Ромео»). Отряд Фирсова не только выезжает на самые сложные и срочные вызовы, но и самостоятельно расследует преступления. Образцовые спецназовцы готовы пожертвовать собой ради спасения других, но в личной жизни их одолевают сомнения и проблемы. «Пионер» развелся с женой, следователем СК Валентиной Ермошиной, но все еще любит ее; «Ланцет» боится признаться в чувствах официантке из бара; «Туча» встречается с женой влиятельного бизнесмена; а у «Ромео» нет отбоя от прекрасных дам.",16+,6.6,216 оценок,['боевик'],['Виктор Шкуратов']
