Channel,Time,Program,Year Release,Description,Age Limit,Rating,Number of Ratings,Categories,Presenters
Первый канал,['05:00'],"Телеканал ""Доброе утро""",1986 — по н.в.,"Утренняя информационно-развлекательная программа «Первого канала» заряжает бодростью, оптимизмом и хорошим настроением на целый день. В каждом выпуске телешоу представлены актуальные новости, полезные советы на все случаи жизни, интервью с интересными гостями и многое другое. Первая часть программы выходит в эфир из Останкина, а затем эстафету перехватывает мобильная передвижная студия, которая находится на улицах Москвы.
«Телеканал „Доброе утро“» существует с 1986 года и является бесспорным лидером утреннего вещания.",0+,6.7,435 оценок,['развлекательное'],"['Лариса Вербицкая', 'Борис Щербаков', 'Екатерина Стриженова', 'Арина Шарапова', 'Юлия Зимина', 'Антон Привольнов', 'Светлана Зейналова', 'Роман Будников', 'Ольга Ушакова', 'Тимур Соловьев', 'Сергей Бабаев', 'Марина Ким', 'Анастасия Трегубова', 'Дильбар Файзиева']"
Первый канал,['09:05'],Модный приговор,2007 — по н.в.,"Одно из первых на российском телевидении ток-шоу о моде и стиле. Это игра-превращение, захватывающее состязание смелых героинь и героев с профессионалами. Участники «Модного приговора» дефилируют по подиуму в нарядах, выбранных самостоятельно, и в нарядах, подобранных стилистами, а зрители в студии решают, кто же победил. Оригинальна и форма программы: это не просто шоу, а суд над безвкусицей в одежде. Однако, судят не людей, а их манеру одеваться. Крайне полезными могут оказаться советы специалистов в области моды, которые щедро рассыпаны по всей передаче, легки для восприятия и применимы в жизни.",0+,4.6,7 262 оценки,['ток-шоу'],"['Александр Рогов', 'Лилия Рах', 'Эвелина Хромченко']"
Первый канал,['09:55'],Жить здорово!,2010 — по н.в.,"Познавательная передача о здоровой, радостной и счастливой жизни. Имеет формат ток-шоу и состоит из четырех разделов: «Про жизнь», «Про еду», «Про медицину», «Про дом». В первом разделе врачи рассказывают, например, как сохранить осанку, как правильно мыть волосы, как уберечься от травм во время гололеда. Во втором — как правильно готовить продукты питания, как их хранить и употреблять. В третьем — о том, как избежать различных заболеваний. В разделе «Про дом» Елена Малышева дает бытовые советы (например, как чистить ковер, как избежать появления моли в шкафу). В этом ей помогают все остальные ведущие программы.",16+,3.7,5 612 оценок,['ток-шоу'],"['Елена Малышева', 'Дмитрий Шубин', 'Андрей Продеус', 'Герман Гандельман']"
Первый канал,['10:45'],Время покажет,2014 — по н.в.,"Темами каждого выпуска программы являются самые актуальные события. Гостями студии становятся очевидцы событий и эксперты, журналисты, политологи, актеры и обычные люди, на глазах которых все произошло. Каждый выпуск телешоу «Время покажет» превращается в площадку для обсуждения проблем, которые волнуют каждого человека. Участники программы пытаются понять причины возникновения и найти пути решения ситуации.",16+,4.7,2 119 оценок,['аналитическое'],"['Руслан Осташко', 'Олеся Лосева', 'Екатерина Стриженова', 'Михаил Старшинов', 'Анатолий Кузичев', 'Артем Шейнин']"
Первый канал,"['14:15', '16:55']",Большая игра,2018 — по н.в.,"Ежедневное ток-шоу, в котором сталкиваются две ментальности, два отношения к миру, пониманию и смыслу истории. В программе анализируются события текущего дня и представлен взгляд как россиян, так и американцев на них.",16+,6.1,604 оценки,['ток-шоу'],"['Вячеслав Никонов', 'Дмитрий Саймс']"
Первый канал,['15:10'],Давай поженимся!,2008 — по н.в.,"Участники программы «Давай поженимся» — одинокие мужчины и женщины, которые искренне хотят встретить свою «вторую половинку». В каждом выпуске одному жениху или невесте предлагается сделать выбор из трех претендентов на его (ее) руку и сердце. Все претенденты заранее видят фото героя на сайте шоу и из сотен других выбирают именно этого человека. Они рассказывают о себе и готовят для героя «сюрприз»: удивляют танцами, пением, кулинарными шедеврами, лингвистическими познаниями и другими способами. Герой программы поочередно встречается с тремя невестами или женихами, а в конце программы делает выбор: с кем из них он хотел бы продолжить отношения? Кого он готов рассматривать как человека, которому когда-нибудь, возможно, скажет: «Давай поженимся!»?
Все участники «Давай поженимся!» приходят на программу с родными и близкими, которые исполняют роль классических «сватов» и советчиков. Нередко на месте героя программы оказываются звезды шоу-бизнеса.",16+,3.6,11 708 оценок,['ток-шоу'],"['Лариса Гузеева', 'Роза Сябитова', 'Василиса Володина', 'Лидия Арефьева', 'Тамара Глоба']"
Первый канал,['16:00'],Мужское/Женское,2014 — по н.в.,"Героями программы становятся люди, переживающие сложный период в жизни. Они приходят в студию, чтобы психологи, юристы и другие эксперты помогли им разобраться в проблеме и оказать необходимую поддержку. При этом ведущие шоу Александр Гордон и Юлия Барановская предлагают критический взгляд на ситуацию, помогающий трезво оценить происходящее. Многие истории связаны с гендерными вопросами и вызывают у героев и зрителей бурные эмоции.
«Мужское/женское» — российское ток-шоу «Первого канала» о трудностях в личных и семейных взаимоотношениях. В честь 10-летия программы были отсняты три праздничных выпуска, в которых специальную премию МЖЭФИ вручили героям, чьи истории вызвали самый большой отклик у зрителей за всю историю шоу.",16+,3.8,6 096 оценок,['ток-шоу'],"['Александр Гордон', 'Юлия Барановская']"
Первый канал,['18:40'],"""Человек и закон"" с Алексеем Пимановым",1970 — по н.в.,"Программа «Человек и закон» в эфире с 1970 года. В советское время выходила в формате тележурнала, иногда — в формате правового видеоканала. Основная тематика связана с важнейшими событиями в политической, экономической и социальной жизни страны. При этом акцент делается на освещении работы правоохранительных органов. Борьба с организованной преступностью, журналистские расследования, разоблачения фактов коррупции в высших эшелонах власти и прочие криминальные истории — вот главный сегодняшний ракурс. С 1996 года программу «Человек и закон» ведет Алексей Пиманов. ",16+,6.9,415 оценок,['аналитическое'],['Алексей Пиманов']
Первый канал,['19:45'],Поле чудес,1990 — по н.в.,"«Поле чудес» придумал и воплотил в жизнь известный журналист Владислав Листьев, увидев несколько выпусков аналогичной американской передачи «Колесо фортуны» (Wheel of Fortune). Он же стал первым ведущим капитал-шоу.
Игра «Поле чудес» проходит в три раунда, в каждом из которых участвуют 3 игрока. Ведущий загадывает слово (редко словосочетание), указанное на табло, а по ходу игры даёт наводящие подсказки. Игроки по очереди крутят барабан. На барабане могут выпасть сектора с различным числом очков, которые игрок получит, если угадает букву, или специальные сектора («Шанс», «Плюс», «Банкрот», «Приз» и т.д.). Далее игрок называет букву алфавита которая, как он считает, присутствует в загаданном слове. Если такая буква есть, то она открывается на табло, а игрок получает выпавшее количество очков (если таких букв несколько, они открываются все и очки начисляются за каждую), и может крутить барабан ещё раз. Если игрок отгадал слово целиком, он может назвать его в свой ход. При неверном ответе ход переходит к следующему игроку. Победитель каждого из раундов попадает в финал, а участнику, победившему в финале, предлагается сыграть в суперигру.
С 1 ноября 1991 года бессменным ведущим шоу «Поле чудес» является Леонид Якубович.",16+,6.0,1 285 оценок,['игровое'],['Леонид Якубович']
Первый канал,['21:45'],Фантастика,2022 — по н.в.,"В музыкальном телешоу «Фантастика» соревнуются между собой 12 анимированных двойников, из них половина — популярные профессионалы, а другая половина — неизвестные певцы. Для каждого участника подбирается виртуальный аватар, повторяющий мимику и движения исполнителя, голос при этом изменяется. Каждое выступление оценивают члены жюри — четыре звезды шоу-бизнеса и виртуальный маскот Телек. В каждом выпуске один участник, чье выступление понравилось жюри меньше других, раскрывает свою личность и выбывает из проекта. Также члены жюри пытаются угадать, кто скрывается за аватаром — известный исполнитель или новичок. Если они ошибаются, участник остается в шоу, а если угадывают звезду — им нужно назвать ее имя.",12+,2.2,217 оценок,['шоу талантов'],['Вадим Галыгин']
Первый канал,['01:30'],Подкаст.Лаб,2023 — по н.в.,"«Подкаст. Лаб» — это серия подкастов разной тематики, заполняющая ночные эфиры «Первого канала». Каждый раздел «Подкаста. Лаб» представлен разными ведущими. Карина Кросс отвечает за музыкальную рубрику «Неформат», Дмитрий Дибров возрождает свою «Антропологию», Лариса Гузеева читает любовные письма, Леонид Якубович рассказывает о пилотах, Михаил Ханов дает финансовые советы, а Арина Холина затрагивает самые интимные вопросы.",16+,3.4,296 оценок,['ток-шоу'],"['Лариса Гузеева', 'Леонид Якубович', 'Арина Холина', 'Карина Кросс', 'Валя Карнавал', 'Валерий Сюткин', 'Дмитрий Дибров', 'Денис Казанский', 'Антон Лаврентьев', 'Сергей Томаш', 'Михаил Ханов', 'Дмитрий Бак', 'Антон Шкаплеров', 'Вера Кинчева', 'Светлана Драган', 'Вадим Галыгин', 'Аглая Набатникова', 'Сергей Насибян', 'Татьяна Красновская']"
Россия 1,['05:00'],Утро России,1998 — по н.в.,"Информационно-развлекательный канал «Утро России» — это четырехчасовое шоу в стиле «инфотейнмент». Каждый день ведущие говорят о главных событиях, о том, что интересует каждого жителя большой страны, о том, что тревожит, заставляет задуматься и вызывает гордость. В поле зрения программы оказываются не только самые заметные, но и просто любопытные истории, произошедшие в России и за ее пределами. Это и человеческие судьбы, и научные открытия, и новости из мира искусства. А корреспонденты программы и приглашенные эксперты помогают сориентироваться в любой жизненной ситуации. Как выбрать качественный товар? Как защитить свои права? Где можно сэкономить? Ответы на эти и другие вопросы — каждый день в утреннем эфире.",12+,7.0,323 оценки,['развлекательное'],"['Анастасия Чернобровина', 'Андрей Петров', 'Владислав Завьялов', 'Денис Стойков', 'Светлана Абрамова', 'Елена Николаева']"
Россия 1,['09:55'],О самом главном,2010 — по н.в.,"Программа «О самом главном» — время заняться своим здоровьем всерьез. Советы лучших специалистов Минздрава и НИИ Питания, актуальные вопросы и новейшие способы лечения — из первых рук.
Сергей Агапкин — доктор, специалист по традиционным системам оздоровления — практик и скептик. Предпочитает все проверить и исследовать самостоятельно. Он лично проконсультирует всех желающих, ответит на важные вопросы и даст четкие рекомендации. А лучшие специалисты страны подтвердят все самые главные утверждения и поделятся опытом.
Ток-шоу «О самом главном» переводит с медицинского языка на простой, разбирает продукты по составу, проводит эксперименты и проверяет ваши знания о себе. В каждом выпуске герои передачи прощаются с мифами и дают компетентные ответы на самые наболевшие вопросы.",12+,6.2,899 оценок,['ток-шоу'],"['Сергей Агапкин', 'Михаил Полицеймако', 'Александр Мясников', 'Татьяна Шаповаленко']"
