Channel,Time,Program,Year Release,Description,Age Limit,Rating,Number of Ratings,Categories,Presenters
Первый канал,"['06:10', '00:10', '03:45']",Подкаст.Лаб,2023 — по н.в.,"«Подкаст. Лаб» — это серия подкастов разной тематики, заполняющая ночные эфиры «Первого канала». Каждый раздел «Подкаста. Лаб» представлен разными ведущими. Карина Кросс отвечает за музыкальную рубрику «Неформат», Дмитрий Дибров возрождает свою «Антропологию», Лариса Гузеева читает любовные письма, Леонид Якубович рассказывает о пилотах, Михаил Ханов дает финансовые советы, а Арина Холина затрагивает самые интимные вопросы.",16+,3.4,296 оценок,['ток-шоу'],"['Лариса Гузеева', 'Леонид Якубович', 'Арина Холина', 'Карина Кросс', 'Валя Карнавал', 'Валерий Сюткин', 'Дмитрий Дибров', 'Денис Казанский', 'Антон Лаврентьев', 'Сергей Томаш', 'Михаил Ханов', 'Дмитрий Бак', 'Антон Шкаплеров', 'Вера Кинчева', 'Светлана Драган', 'Вадим Галыгин', 'Аглая Набатникова', 'Сергей Насибян', 'Татьяна Красновская']"
Первый канал,['08:05'],Здоровье,1960 — по н.в.,"«Здоровье» — еженедельная научно-популярная программа о здоровье человека и обо всем, что с ним связано. Впервые вышла в эфир в 1960 году. Первые выпуски вел телевизионный диктор. Затем — журналист Алла Мелик-Пашаева. С 1969 года более 20 лет бессменной ведущей программы была Юлия Белянчикова, профессиональный врач. Передача c ее участием стала одной из самых популярных на советском телевидении: поток писем от телезрителей за период ее работы возрос с 60 000 до 160 000 в год. На вопросы давались ответы как во время эфира, так и в личной переписке.
С 1997 года программу ведет врач по профессии, доктор медицинских наук Елена Малышева, член Российской академии телевидения и Международной академии телевидения и радио.",16+,5.0,376 оценок,['ток-шоу'],"['Алла Мелик-Пашаева', 'Юлия Белянчикова', 'Елена Малышева', 'Дмитрий Шубин', 'Андрей Продеус', 'Герман Гандельман']"
Первый канал,['09:10'],Непутевые заметки,1996 — по н.в.,"Авторская телепрограмма о путешествиях по всему свету. Съемочная группа «Непутевых заметок» за время своего существования побывала в различных уголках нашей планеты, а в 2002 году добралась даже до Северного Полюса.
В момент своего появления в 1996 году это была первая после «Клуба путешественников» передача подобного формата. Ведущий Дмитрий Крылов вовсе не выдавал себя за знатока заграничной жизни, и зрителям нравился такой субъективный и непредвзятый, порой ироничный взгляд на жизнь Запада. При просмотре многим зрителям казалось, что это они сами путешествуют и открывают для себя дальние страны.",6+,7.5,1 135 оценок,['шоу о путешествиях'],['Дмитрий Крылов']
Первый канал,['10:15'],Жизнь других,2019 — по н.в.,"Тревел-шоу рассказывает о жизни иностранцев изнутри. Ведущая программы не дает советов, куда поехать и что посмотреть, а отвечает на вопросы о настоящей жизни жителей разных стран: что они едят, сколько тратят на коммунальные платежи, как выглядят их больницы. Герои программы, согласившиеся пустить съемочную группу к себе домой, честно рассказывают о своих привычках и традициях, а также о ценах и зарплатах.",12+,7.4,473 оценки,['шоу о путешествиях'],['Жанна Бадоева']
Первый канал,['13:20'],Видели видео?,2018 — по н.в.,"Сюжет юмористического шоу «Видели видео?» строится вокруг смешных, милых и необычных видеороликов, завоевавших популярность в сети. Гостями программы становятся авторы и персонажи видео, набравших тысячи просмотров и ставших мемами. Кроме того, в шоу можно увидеть забавные моменты из жизни звезд и их близких. В каждом выпуске есть две постоянные рубрики: «Шлем правды», в которой Дмитрий Шепелев помогает звездным родителям лучше узнать своих детей; а также «Один дома», в которой с помощью скрытых камер, установленных в домах популярных артистов, зрители могут увидеть, что делают их дети и питомцы, пока взрослых нет дома.",6+,5.4,244 оценки,['ток-шоу'],['Александр Смол']
Первый канал,['19:00'],Точь-в-точь!,2014 — по н.в.,"Популярные российские исполнители перевоплощаются в своих отечественных и зарубежных коллег — Майкла Джексона, Ларису Долину, Мика Джаггера, Жанну Огузарову и многих других. С помощью костюма и пластического грима участники меняются до неузнаваемости внешне, а под руководством опытных педагогов по вокалу добиваются удивительного сходства голосов с теми, кого изображают. В этих образах конкурсанты выступают с заранее поставленными и отрепетированными музыкальными номерами, в которых задействованы танцоры, бэк-вокалисты, сложные декорации и пиротехнические эффекты. Каждое выступление по пятибалльной шкале оценивает звездное жюри, а также третейский судья, находящийся в тайной комнате и озвучивающий свои оценки в конце программы.
Шоу «Точь-в-точь» — шоу перевоплощений, выходившее в 2014—2021 годах и вернувшееся в эфир «Первого канала» в 2024 году. Бессменный ведущий шоу — Александр Олешко.",16+,6.9,3 731 оценка,['шоу талантов'],['Александр Олешко']
Первый канал,['23:00'],Что? Где? Когда?,1975 — по н.в.,"«Что? Где? Когда?» — интеллектуальная телеигра, в которой телезрители задают вопросы, а команда знатоков на них отвечает. Автором идеи, режиссером и первым ведущим программы был Владимир Ворошилов. После его смерти в 2001 году его место занял Борис Крюк.
В каждом выпуске «Что? Где? Когда?» принимает участие одна команда, состоящая из шести игроков — «знатоков». Они сидят за столом, разделенным на 13 секторов. В каждом секторе лежит конверт с вопросом от телезрителя. Есть также сектора «Блиц» и «Суперблиц» (по три вопроса в конверте, на каждый нужно ответить за 20 секунд) и «Тринадцатый сектор» (вопрос от интернет-пользователей). В начале каждого раунда раскручивается волчок, произвольно выбирая вопрос, на который предстоит отвечать игрокам. У знатоков есть одна минута на то, чтобы провести «мозговой штурм» и найти ответ. Вопросы присылаются на программу заранее (исключение — «Тринадцатый сектор», вопросы туда присылаются в течение игры). За каждый правильный ответ команда получает очко. Если ответ знатоков оказался неверным или не был дан, очко присуждается команде телезрителей. Игра ведется до шести очков.
Каждый игровой сезон состоит из четырех серий игр. Все они снимаются в Охотничьем домике в Нескучном саду в Москве и транслируются в прямом эфире. За каждой игрой наблюдают гости и члены клуба, которые находятся в одном зале с игроками.",12+,8.1,3 910 оценок,['игровое'],['Борис Крюк']
Россия 1,['08:35'],"""Когда все дома"" с Тимуром Кизяковым",2017 — по н.в.,"Героями телешоу «Когда все дома с Тимуром Кизяковым» становятся известные персоны — артисты, ведущие, музыканты, спортсмены, общественные деятели. Но не они приходят в студию, а съемочная группа отправляется в гости к своим участникам. За чаем ведущий задает разные вопросы, а герой программы делится воспоминаниями, рассказывает забавные истории, которые происходили в его жизни, знакомит с членами своей семьи.",12+,6.4,226 оценок,['развлекательное'],['Тимур Кизяков']
Россия 1,['09:25'],Утренняя почта с Николаем Басковым,2021 — по н.в.,"Перезапуск культовой советской телепрограммы. Каждое воскресенье ведущий шоу Николай Басков выполняет музыкальные заявки телезрителей, отправленные на почтовый ящик канала.",12+,5.3,78 оценок,['развлекательное'],['Николай Басков']
Россия 1,['10:10'],Сто к одному,1995 — по н.в.,"«Сто к одному» — командная телеигра, аналог американской игры Family Feud. Цель участников — угадать наиболее распространенные ответы людей с улицы на предложенные неоднозначные вопросы, например: «Какую еду больше всего любят французы?», «Кто поддерживает порядок в стране?», «Что делает женщина, когда у неё сломался каблук?». Каждый игрок должен предложить свою версию, но победа (или поражение) достается всей команде в целом. Программа стала финалистом национального телевизионного конкурса «ТЭФИ 2000», лауреатом «ТЭФИ 2002» в номинации «Развлекательная программа». ",0+,7.7,1 308 оценок,['игровое'],['Александр Акопов']
